[INFO] cheat ON
[round 1] ram=0x04 frame=1101
[round 2] ram=0x05 frame=1281
[round 3] ram=0x06 frame=1537
[round 4] ram=0x07 frame=1793
[round 5] ram=0x08 frame=2049
[round 6] ram=0x09 frame=2305
[round 7] ram=0x0A frame=2561
[round 8] ram=0x0B frame=2817
[round 9] ram=0x0C frame=3073
[round 10] ram=0x0D frame=3329
[round 11] ram=0x0E frame=3585
[round 12] ram=0x0F frame=3841
[round 13] ram=0x10 frame=4097
[round 14] ram=0x11 frame=4353
[round 15] ram=0x12 frame=4609
[round 16] ram=0x13 frame=4865
[snap L4R1_burst_start] idx=0000 frame=4865 ram=0x13
[snap burst_001] idx=0001 frame=4873 ram=0x13
[snap burst_002] idx=0002 frame=4881 ram=0x13
[snap burst_003] idx=0003 frame=4889 ram=0x13
[snap burst_004] idx=0004 frame=4897 ram=0x13
[snap burst_005] idx=0005 frame=4905 ram=0x13
[snap burst_006] idx=0006 frame=4913 ram=0x13
[snap burst_007] idx=0007 frame=4921 ram=0x13
[snap burst_008] idx=0008 frame=4929 ram=0x13
[snap burst_009] idx=0009 frame=4937 ram=0x13
[snap burst_010] idx=0010 frame=4945 ram=0x13
[snap burst_011] idx=0011 frame=4953 ram=0x13
[snap burst_012] idx=0012 frame=4961 ram=0x13
[snap burst_013] idx=0013 frame=4969 ram=0x13
[snap burst_014] idx=0014 frame=4977 ram=0x13
[snap burst_015] idx=0015 frame=4985 ram=0x13
[snap burst_016] idx=0016 frame=4993 ram=0x13
[snap burst_017] idx=0017 frame=5001 ram=0x13
[snap burst_018] idx=0018 frame=5009 ram=0x13
[snap burst_019] idx=0019 frame=5017 ram=0x13
[snap burst_020] idx=0020 frame=5025 ram=0x13
[snap burst_021] idx=0021 frame=5033 ram=0x13
[snap burst_022] idx=0022 frame=5041 ram=0x13
[snap burst_023] idx=0023 frame=5049 ram=0x13
[snap burst_024] idx=0024 frame=5057 ram=0x13
[snap burst_025] idx=0025 frame=5065 ram=0x13
[snap burst_026] idx=0026 frame=5073 ram=0x13
[snap burst_027] idx=0027 frame=5081 ram=0x13
[snap burst_028] idx=0028 frame=5089 ram=0x13
[snap burst_029] idx=0029 frame=5097 ram=0x13
